iter	Passed	Remaining
402	12147	138570
403	12178	138550
404	12211	138544
405	12244	138551
406	12278	138557
407	12309	138540
408	12338	138497
409	12369	138482
410	12399	138450
411	12431	138431
412	12459	138383
413	12491	138377
414	12525	138380
415	12541	138193
416	12572	138171
417	12602	138150
418	12634	138137
419	12666	138129
420	12697	138108
421	12728	138079
422	12758	138049
423	12790	138042
424	12819	138001
425	12830	137762
426	12859	137723
427	12893	137733
428	12909	137545
429	12937	137500
430	12968	137475
431	12998	137444
432	13027	137403
433	13043	137222
434	13072	137187
435	13102	137152
436	13133	137137
437	13163	137107
438	13194	137081
439	13227	137085
440	13257	137050
441	13289	137041
442	13318	137007
443	13349	136987
444	13378	136944
445	13412	136951
446	13444	136938
447	13454	136703
448	13483	136668
449	13514	136649
450	13545	136630
451	13575	136598
452	13606	136578
453	13636	136543
454	13670	136556
455	13700	136526
456	13729	136488
457	13761	136472
458	13790	136432
459	13821	136409
460	13853	136399
461	13889	136425
462	13921	136415
463	13952	136396
464	13981	136355
465	14011	136325
466	14042	136308
467	14076	136309
468	14119	136404
469	14152	136408
470	14185	136406
471	14203	136254
472	14233	136226
473	14263	136198
474	14293	136168
475	14328	136176
476	14357	136138
477	14389	136130
478	14420	136110
479	14451	136083
480	14482	136062
481	14515	136059
482	14546	136041
483	14577	136019
484	14608	135993
485	14638	135960
486	14668	135927
487	14698	135896
488	14730	135891
489	14760	135858
490	14790	135825
491	14820	135791
492	14850	135760
493	14882	135747
494	14911	135706
495	14943	135693
496	14974	135675
497	15004	135640
498	15033	135603
499	15056	135507
500	15091	135523
501	15122	135500
502	15154	135488
503	15185	135461
504	15219	135470
505	15250	135448
506	15283	135441
507	15313	135411
508	15342	135367
509	15373	135344
510	15403	135319
511	15437	135317
512	15466	135278
513	15495	135234
514	15523	135194
515	15553	135160
516	15584	135137
517	15615	135117
518	15648	135111
519	15679	135082
520	15713	135091
521	15747	135090
522	15780	135086
523	15814	135083
524	15847	135080
525	15882	135090
526	15915	135083
527	15951	135105
528	15984	135097
529	16016	135081
530	16050	135082
531	16079	135046
532	16111	135026
533	16144	135019
534	16175	134995
535	16210	135009
536	16255	135103
537	16292	135128
538	16321	135083
539	16351	135047
540	16382	135025
541	16415	135018
542	16446	134998
543	16481	135005
544	16515	134998
545	16546	134976
546	16579	134966
547	16610	134946
548	16640	134909
549	16671	134888
550	16701	134854
551	16731	134824
552	16762	134794
553	16792	134767
554	16824	134745
555	16853	134708
556	16885	134688
557	16917	134671
558	16948	134649
559	16983	134655
560	17015	134639
561	17046	134609
562	17077	134584
563	17109	134571
564	17137	134523
565	17168	134498
566	17200	134481
567	17231	134455
568	17262	134430
569	17294	134414
570	17327	134402
571	17357	134371
572	17387	134337
573	17420	134323
574	17452	134310
575	17487	134315
576	17520	134301
577	17550	134267
578	17580	134238
579	17611	134210
580	17641	134177
581	17670	134137
582	17701	134112
583	17734	134099
584	17763	134064
585	17795	134041
586	17827	134025
587	17860	134013
588	17892	133995
589	17923	133973
590	17953	133935
591	17986	133923
592	18018	133907
593	18052	133906
594	18080	133858
595	18112	133840
596	18143	133814
597	18175	133793
598	18207	133772
599	18240	133762
600	18273	133753
601	18306	133744
602	18338	133718
603	18368	133692
604	18405	133704
605	18438	133691
606	18466	133649
607	18498	133627
608	18528	133592
609	18562	133588
610	18591	133550
611	18623	133531
612	18655	133510
613	18686	133483
614	18717	133460
615	18748	133430
616	18778	133399
617	18811	133383
618	18843	133366
619	18875	133347
620	18904	133307
621	18934	133268
622	18968	133264
623	18997	133229
624	19030	133216
625	19060	133180
626	19093	133166
627	19122	133125
628	19153	133098
629	19187	133091
630	19218	133068
631	19263	133140
632	19297	133129
633	19326	133092
634	19359	133079
635	19391	133056
636	19421	133026
637	19453	133001
638	19488	133001
639	19523	133003
640	19554	132977
641	19585	132950
642	19617	132927
643	19650	132914
644	19683	132900
645	19718	132899
646	19753	132903
647	19788	132898
648	19819	132876
649	19850	132842
650	19884	132839
651	19917	132824
652	19951	132817
653	19986	132818
654	20020	132808
655	20056	132812
656	20088	132792
657	20120	132769
658	20153	132758
659	20183	132721
660	20216	132707
661	20247	132678
662	20276	132639
663	20310	132627
664	20340	132594
665	20371	132567
666	20400	132524
667	20430	132490
668	20461	132465
669	20492	132434
670	20522	132404
671	20574	132510
672	20603	132470
673	20635	132446
674	20665	132409
675	20696	132381
676	20730	132374
677	20769	132396
678	20810	132436
679	20848	132449
680	20888	132476
681	20926	132496
682	20966	132523
683	21005	132545
684	21042	132554
685	21077	132550
686	21108	132519
687	21138	132483
688	21170	132459
689	21201	132431
690	21234	132415
691	21264	132381
692	21297	132365
693	21332	132362
694	21364	132336
695	21395	132305
696	21437	132348
697	21471	132337
698	21500	132294
699	21532	132270
700	21567	132263
701	21603	132264
702	21637	132258
703	21666	132213
704	21695	132170
705	21730	132168
706	21764	132156
707	21800	132158
